                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 0.6883,                 7.6301,                0.62907,                0.69615,                 1.0605,                0.95123,                      1,                  0.995,                0.74792,                      0,                      0,                      0,                      0,                0.68946,                 6.2869,                0.49435,                0.90547,                 1.0963,             0.00043732,             0.00043732,             0.00043732
                     71,                0.78221,                  7.732,                0.62685,                0.69524,                 1.1578,                0.95123,                      1,                  0.995,                0.74792,                      0,                      0,                      0,                      0,                0.68946,                 6.2869,                0.49435,                0.90547,                 1.0963,              0.0004298,              0.0004298,              0.0004298
                     72,                0.92403,                 7.2213,                0.69158,                 0.8261,                 1.2896,                0.93464,                      1,                  0.995,                0.69276,                      0,                      0,                      0,                      0,                0.82737,                 6.3516,                0.47873,                 1.1117,                 1.2125,             0.00042188,             0.00042188,             0.00042188
                     73,                0.99061,                 7.8198,                0.63682,                0.61414,                  1.418,                0.93464,                      1,                  0.995,                0.69276,                      0,                      0,                      0,                      0,                0.82737,                 6.3516,                0.47873,                 1.1117,                 1.2125,             0.00041357,             0.00041357,             0.00041357
                     74,                0.86589,                 7.3335,                0.62356,                0.80591,                 1.2765,                0.93464,                      1,                  0.995,                0.69276,                      0,                      0,                      0,                      0,                0.82737,                 6.3516,                0.47873,                 1.1117,                 1.2125,             0.00040486,             0.00040486,             0.00040486
                     75,                0.90411,                  6.734,                0.62618,                0.68609,                  1.224,                      1,                0.95521,                  0.995,                0.72382,                      0,                      0,                      0,                      0,                0.94537,                 6.0228,                0.47369,                 1.0913,                 1.2771,             0.00039575,             0.00039575,             0.00039575
                     76,                  1.023,                 7.3068,                0.70014,                0.74593,                 1.2227,                      1,                0.95521,                  0.995,                0.72382,                      0,                      0,                      0,                      0,                0.94537,                 6.0228,                0.47369,                 1.0913,                 1.2771,             0.00038625,             0.00038625,             0.00038625
                     77,                0.80246,                 7.1979,                 0.5967,                0.66795,                0.95865,                      1,                0.95521,                  0.995,                0.72382,                      0,                      0,                      0,                      0,                0.94537,                 6.0228,                0.47369,                 1.0913,                 1.2771,             0.00037635,             0.00037635,             0.00037635
                     78,                0.93012,                 7.5462,                 0.6047,                0.68553,                 1.0927,                0.70701,                      1,                0.93786,                0.82007,                0.28199,                    0.4,                 0.1586,                0.01891,                0.53497,                 5.3743,                0.46933,                0.64453,                0.99903,             0.00036606,             0.00036606,             0.00036606
                     79,                0.78639,                 5.9121,                0.63496,                0.67187,                 1.3298,                0.70701,                      1,                0.93786,                0.82007,                0.28199,                    0.4,                 0.1586,                0.01891,                0.53497,                 5.3743,                0.46933,                0.64453,                0.99903,             0.00035537,             0.00035537,             0.00035537
                     80,                0.65227,                 7.6076,                0.68123,                0.58681,                 1.0953,                0.70701,                      1,                0.93786,                0.82007,                0.28199,                    0.4,                 0.1586,                0.01891,                0.53497,                 5.3743,                0.46933,                0.64453,                0.99903,             0.00034428,             0.00034428,             0.00034428
                     81,                0.85689,                   6.88,                0.63617,                0.65841,                 1.0559,                      1,                0.99947,                  0.995,                 0.9405,                0.96954,                    0.8,                0.79756,                 0.0865,                0.52726,                 5.2421,                0.47173,                0.55258,                0.96099,              0.0003328,              0.0003328,              0.0003328
                     82,                0.78137,                  7.073,                0.70976,                0.63552,                 1.1567,                      1,                0.99947,                  0.995,                 0.9405,                0.96954,                    0.8,                0.79756,                 0.0865,                0.52726,                 5.2421,                0.47173,                0.55258,                0.96099,             0.00032092,             0.00032092,             0.00032092
                     83,                0.72376,                 6.5167,                 0.6499,                 0.6709,                 1.1456,                      1,                0.99947,                  0.995,                 0.9405,                0.96954,                    0.8,                0.79756,                 0.0865,                0.52726,                 5.2421,                0.47173,                0.55258,                0.96099,             0.00030865,             0.00030865,             0.00030865
                     84,                0.74263,                 8.4683,                0.75479,                0.59557,                 1.0768,                0.99247,                      1,                  0.995,                0.91559,                0.71663,                    0.6,                0.44965,                0.04496,                 0.5787,                 5.3601,                0.47429,                0.61587,                0.99269,             0.00029598,             0.00029598,             0.00029598
                     85,                0.74515,                 9.3501,                0.64482,                 0.6988,                 1.0464,                0.99247,                      1,                  0.995,                0.91559,                0.71663,                    0.6,                0.44965,                0.04496,                 0.5787,                 5.3601,                0.47429,                0.61587,                0.99269,             0.00028291,             0.00028291,             0.00028291
                     86,                0.86421,                  8.749,                0.71209,                0.74387,                 1.1739,                0.99247,                      1,                  0.995,                0.91559,                0.71663,                    0.6,                0.44965,                0.04496,                 0.5787,                 5.3601,                0.47429,                0.61587,                0.99269,             0.00026945,             0.00026945,             0.00026945
                     87,                0.54538,                 6.8929,                0.60877,                0.51912,                 1.0261,                0.99247,                      1,                  0.995,                0.91559,                0.71663,                    0.6,                0.44965,                0.04496,                 0.5787,                 5.3601,                0.47429,                0.61587,                0.99269,             0.00025559,             0.00025559,             0.00025559
                     88,                0.54638,                 7.0793,                0.56769,                0.50047,                 1.0287,                0.98912,                      1,                  0.995,                0.94534,                0.98912,                      1,                  0.995,                 0.1955,                0.52541,                 4.6837,                 0.4591,                0.60887,                0.97494,             0.00024134,             0.00024134,             0.00024134
                     89,                0.59602,                 5.9188,                0.58399,                0.61965,                 1.0051,                0.98912,                      1,                  0.995,                0.94534,                0.98912,                      1,                  0.995,                 0.1955,                0.52541,                 4.6837,                 0.4591,                0.60887,                0.97494,             0.00022669,             0.00022669,             0.00022669
                     90,                0.96277,                 8.1428,                0.69858,                0.72994,                  1.284,                0.98912,                      1,                  0.995,                0.94534,                0.98912,                      1,                  0.995,                 0.1955,                0.52541,                 4.6837,                 0.4591,                0.60887,                0.97494,             0.00021164,             0.00021164,             0.00021164
                     91,                 1.1886,                 8.4214,                0.49968,                0.86688,                 1.5821,                0.98912,                      1,                  0.995,                0.94534,                0.98912,                      1,                  0.995,                 0.1955,                0.52541,                 4.6837,                 0.4591,                0.60887,                0.97494,              0.0001962,              0.0001962,              0.0001962
                     92,                0.88736,                 6.0317,                0.48808,                0.74841,                 1.1617,                0.98979,                      1,                  0.995,                0.95033,                0.79147,                    0.8,                0.71723,                0.10778,                0.48187,                 4.6277,                  0.443,                0.45231,                0.96706,             0.00018036,             0.00018036,             0.00018036
                     93,                0.57819,                 6.8928,                0.48249,                0.57838,                 1.0372,                0.98979,                      1,                  0.995,                0.95033,                0.79147,                    0.8,                0.71723,                0.10778,                0.48187,                 4.6277,                  0.443,                0.45231,                0.96706,             0.00016413,             0.00016413,             0.00016413
                     94,                 0.8986,                 8.1106,                0.49344,                0.62277,                 1.3822,                0.98979,                      1,                  0.995,                0.95033,                0.79147,                    0.8,                0.71723,                0.10778,                0.48187,                 4.6277,                  0.443,                0.45231,                0.96706,              0.0001475,              0.0001475,              0.0001475
                     95,                0.62936,                 6.4225,                  0.479,                0.48562,                0.98229,                0.98979,                      1,                  0.995,                0.95033,                0.79147,                    0.8,                0.71723,                0.10778,                0.48187,                 4.6277,                  0.443,                0.45231,                0.96706,             0.00013047,             0.00013047,             0.00013047
                     96,                0.78154,                 6.6447,                0.49146,                0.72761,                 1.3297,                0.98779,                      1,                  0.995,                0.95035,                0.19746,                    0.2,                0.04128,                0.00413,                0.48747,                 4.9695,                0.43485,                0.46491,                0.98418,             0.00011305,             0.00011305,             0.00011305
                     97,                0.60706,                 8.2416,                0.49804,                0.54912,                 1.2173,                0.98779,                      1,                  0.995,                0.95035,                0.19746,                    0.2,                0.04128,                0.00413,                0.48747,                 4.9695,                0.43485,                0.46491,                0.98418,             9.5232e-05,             9.5232e-05,             9.5232e-05
